adminPcode,name,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
UG620,KOTIDO,"87,900","96,400","184,300",40.2,"90,200","98,500","188,700",39.7,"92,500","100,700","193,200",39.3,"94,800","102,800","197,600",38.7,"97,100","105,000","202,100",38.2,"99,400","107,100","206,500",37.7,"101,700","109,200","210,900",37.2,"104,000","111,300","215,300",36.7,"106,300","113,400","219,700",36.1,"108,500","115,400","223,900",35.5
UG621,KUMI,"119,500","125,500","245,000",40.2,"123,500","129,200","252,700",39.7,"127,600","132,900","260,500",39.3,"131,800","136,700","268,500",38.7,"136,100","140,500","276,600",38.2,"140,400","144,400","284,800",37.7,"144,700","148,200","292,900",37.2,"149,100","152,100","301,200",36.7,"153,500","156,000","309,500",36.1,"157,900","159,800","317,700",35.5
UG5127,KWANIA,"91,800","95,700","187,500",40.2,"94,700","98,500","193,200",39.7,"97,600","101,300","198,900",39.3,"100,600","104,200","204,800",38.7,"103,600","107,000","210,600",38.2,"106,700","109,900","216,600",37.7,"109,700","112,900","222,600",37.2,"112,800","115,800","228,600",36.7,"115,900","118,700","234,600",36.1,"118,900","121,600","240,500",35.5
UG4104,KWEEN,"48,600","47,100","95,700",40.2,"50,100","48,300","98,400",39.7,"51,600","49,500","101,100",39.3,"53,200","50,700","103,900",38.7,"54,800","51,900","106,700",38.2,"56,400","53,100","109,500",37.7,"58,000","54,300","112,300",37.2,"59,700","55,500","115,200",36.7,"61,300","56,700","118,000",36.1,"62,900","57,900","120,800",35.5
UG393,KYANKWANZI,"116,200","107,000","223,200",40.2,"122,200","112,000","234,200",39.7,"128,400","117,200","245,600",39.3,"135,000","122,600","257,600",38.7,"141,800","128,200","270,000",38.2,"148,800","134,000","282,800",37.7,"156,100","140,000","296,100",37.2,"163,600","146,100","309,700",36.7,"171,400","152,500","323,900",36.1,"179,400","158,900","338,300",35.5
UG384,KYEGEGWA,"150,100","150,000","300,100",40.2,"162,400","161,900","324,300",39.7,"175,800","174,700","350,500",39.3,"190,200","188,400","378,600",38.7,"205,600","203,100","408,700",38.2,"222,100","218,900","441,000",37.7,"239,900","235,700","475,600",37.2,"258,800","253,600","512,400",36.7,"279,100","272,800","551,900",36.1,"300,700","293,200","593,900",35.5
UG348,KYENJOJO,"217,500","217,700","435,200",40.2,"226,500","225,800","452,300",39.7,"235,800","234,100","469,900",39.3,"245,400","242,600","488,000",38.7,"255,200","251,300","506,500",38.2,"265,200","260,200","525,400",37.7,"275,500","269,300","544,800",37.2,"286,000","278,500","564,500",36.7,"296,600","287,800","584,400",36.1,"307,400","297,200","604,600",35.5
UG2119,KYOTERA,"119,900","122,400","242,300",40.2,"122,000","124,100","246,100",39.7,"124,200","125,800","250,000",39.3,"126,300","127,400","253,700",38.7,"128,300","129,100","257,400",38.2,"130,400","130,600","261,000",37.7,"132,400","132,100","264,500",37.2,"134,300","133,600","267,900",36.7,"136,100","135,000","271,100",36.1,"137,900","136,300","274,200",35.5
UG585,LAMWO,"65,600","70,000","135,600",40.2,"66,300","71,000","137,300",39.7,"67,000","72,000","139,000",39.3,"67,700","73,000","140,700",38.7,"68,300","74,000","142,300",38.2,"68,900","74,900","143,800",37.7,"69,500","75,900","145,400",37.2,"70,000","76,800","146,800",36.7,"70,500","77,600","148,100",36.1,"70,900","78,400","149,300",35.5
UG522,LIRA,"99,800","105,100","204,900",40.2,"102,900","108,100","211,000",39.7,"105,700","111,100","216,800",39.3,"108,700","114,400","223,100",38.7,"111,500","117,500","229,000",38.2,"114,600","120,700","235,300",37.7,"117,400","123,700","241,100",37.2,"120,500","127,100","247,600",36.7,"123,500","130,200","253,700",36.1,"126,400","133,400","259,800",35.5
UG494,LUUKA,"115,500","126,300","241,800",40.2,"118,000","128,800","246,800",39.7,"120,600","131,300","251,900",39.3,"123,100","133,900","257,000",38.7,"125,700","136,400","262,100",38.2,"128,200","138,900","267,100",37.7,"130,700","141,300","272,000",37.2,"133,100","143,700","276,800",36.7,"135,500","146,100","281,600",36.1,"137,800","148,400","286,200",35.5
UG123,LUWERO,"231,500","234,000","465,500",40.2,"237,600","239,300","476,900",39.7,"243,800","244,700","488,500",39.3,"250,100","250,100","500,200",38.7,"256,400","255,500","511,900",38.2,"262,700","260,900","523,600",37.7,"269,000","266,200","535,200",37.2,"275,300","271,400","546,700",36.7,"281,500","276,600","558,100",36.1,"287,500","281,700","569,200",35.5
UG105,LWENGO,"134,600","142,300","276,900",40.2,"136,200","143,600","279,800",39.7,"137,700","144,900","282,600",39.3,"139,200","146,200","285,400",38.7,"140,700","147,400","288,100",38.2,"142,000","148,500","290,500",37.7,"143,300","149,600","292,900",37.2,"144,600","150,600","295,200",36.7,"145,700","151,500","297,200",36.1,"146,700","152,200","298,900",35.5
UG280,LYANTONDE,"47,900","48,000","95,900",40.2,"49,400","49,400","98,800",39.7,"50,900","50,700","101,600",39.3,"52,500","52,100","104,600",38.7,"54,000","53,500","107,500",38.2,"55,600","54,900","110,500",37.7,"57,200","56,300","113,500",37.2,"58,800","57,700","116,500",36.7,"60,500","59,100","119,600",36.1,"62,100","60,500","122,600",35.5
UG5133,MADIOKOLLO,"69,900","73,300","143,200",40.2,"71,800","75,500","147,300",39.7,"74,200","77,200","151,400",39.3,"76,200","79,500","155,700",38.7,"78,300","81,500","159,800",38.2,"80,600","83,600","164,200",37.7,"82,500","85,800","168,300",37.2,"84,800","88,000","172,800",36.7,"87,000","89,800","176,800",36.1,"89,000","91,900","180,900",35.5
UG467,MANAFWA,"76,400","79,800","156,200",40.2,"78,300","81,700","160,000",39.7,"80,300","83,500","163,800",39.3,"82,300","85,300","167,600",38.7,"84,200","87,100","171,300",38.2,"86,200","89,000","175,200",37.7,"88,200","90,800","179,000",37.2,"90,100","92,600","182,700",36.7,"92,000","94,300","186,300",36.1,"93,900","96,100","190,000",35.5
UG577,MARACHA,"89,300","99,600","188,900",40.2,"91,300","101,600","192,900",39.7,"93,200","103,600","196,800",39.3,"95,100","105,600","200,700",38.7,"97,000","107,500","204,500",38.2,"98,900","109,400","208,300",37.7,"100,800","111,400","212,200",37.2,"102,600","113,200","215,800",36.7,"104,400","115,100","219,500",36.1,"106,100","116,800","222,900",35.5
UG224,MASAKA,"55,400","53,000","108,400",40.2,"56,700","54,100","110,800",39.7,"58,100","55,200","113,300",39.3,"59,400","56,300","115,700",38.7,"60,700","57,300","118,000",38.2,"62,000","58,400","120,400",37.7,"63,300","59,500","122,800",37.2,"64,800","60,500","125,300",36.7,"66,000","61,600","127,600",36.1,"67,200","62,600","129,800",35.5
UG325,MASINDI,"151,600","145,900","297,500",40.2,"156,000","149,800","305,800",39.7,"160,600","153,800","314,400",39.3,"165,200","157,900","323,100",38.7,"169,800","162,000","331,800",38.2,"174,500","166,000","340,500",37.7,"179,200","170,100","349,300",37.2,"183,900","174,200","358,100",36.7,"188,600","178,300","366,900",36.1,"193,300","182,300","375,600",35.5
UG449,MAYUGE,"235,200","249,700","484,900",40.2,"243,000","257,500","500,500",39.7,"250,900","265,300","516,200",39.3,"258,900","273,300","532,200",38.7,"267,100","281,500","548,600",38.2,"275,400","289,700","565,100",37.7,"283,800","297,900","581,700",37.2,"292,200","306,200","598,400",36.7,"300,600","314,600","615,200",36.1,"309,100","322,900","632,000",35.5
UG426,MBALE,"109,700","118,300","228,000",40.2,"113,300","122,100","235,400",39.7,"116,800","126,100","242,900",39.3,"120,400","130,300","250,700",38.7,"124,200","134,600","258,800",38.2,"127,800","138,900","266,700",37.7,"131,600","143,300","274,900",37.2,"135,300","147,500","282,800",36.7,"139,100","151,900","291,000",36.1,"142,900","156,100","299,000",35.5
UG227,MBARARA,"73,400","78,600","152,000",40.2,"75,200","80,400","155,600",39.7,"76,900","82,200","159,100",39.3,"78,700","83,900","162,600",38.7,"80,400","85,600","166,000",38.2,"82,100","87,300","169,400",37.7,"83,800","89,000","172,800",37.2,"85,500","90,800","176,300",36.7,"87,000","92,300","179,300",36.1,"88,700","93,900","182,600",35.5
UG2106,MITOOMA,"87,300","97,500","184,800",40.2,"88,300","98,500","186,800",39.7,"89,400","99,400","188,800",39.3,"90,500","100,300","190,800",38.7,"91,500","101,100","192,600",38.2,"92,400","101,900","194,300",37.7,"93,300","102,600","195,900",37.2,"94,200","103,300","197,500",36.7,"95,000","103,900","198,900",36.1,"95,700","104,500","200,200",35.5
UG368,MITYANA,"168,200","165,100","333,300",40.2,"171,500","167,700","339,200",39.7,"174,800","170,400","345,200",39.3,"178,100","173,000","351,100",38.7,"181,300","175,500","356,800",38.2,"184,500","178,000","362,500",37.7,"187,700","180,500","368,200",37.2,"190,800","182,800","373,600",36.7,"193,700","185,100","378,800",36.1,"196,600","187,300","383,900",35.5
UG628,MOROTO,"50,700","54,700","105,400",40.2,"51,900","56,100","108,000",39.7,"53,100","57,500","110,600",39.3,"54,300","58,900","113,200",38.7,"55,500","60,300","115,800",38.2,"56,800","61,700","118,500",37.7,"58,000","63,200","121,200",37.2,"59,200","64,600","123,800",36.7,"60,300","66,000","126,300",36.1,"61,500","67,300","128,800",35.5
UG529,MOYO,"48,200","49,500","97,700",40.2,"49,300","50,700","100,000",39.7,"50,600","51,700","102,300",39.3,"51,800","52,900","104,700",38.7,"53,200","53,900","107,100",38.2,"54,400","55,100","109,500",37.7,"55,700","56,100","111,800",37.2,"56,900","57,200","114,100",36.7,"58,200","58,200","116,400",36.1,"59,500","59,300","118,800",35.5
UG130,MPIGI,"127,900","127,300","255,200",40.2,"131,100","130,300","261,400",39.7,"134,400","133,200","267,600",39.3,"137,700","136,200","273,900",38.7,"141,100","139,200","280,300",38.2,"144,400","142,200","286,600",37.7,"147,700","145,200","292,900",37.2,"150,900","148,200","299,100",36.7,"154,200","151,100","305,300",36.1,"157,300","153,900","311,200",35.5
UG331,MUBENDE,"216,800","213,400","430,200",40.2,"228,600","224,400","453,000",39.7,"241,000","235,900","476,900",39.3,"254,000","247,900","501,900",38.7,"267,400","260,400","527,800",38.2,"281,500","273,300","554,800",37.7,"296,100","286,800","582,900",37.2,"311,200","300,700","611,900",36.7,"326,800","315,000","641,800",36.1,"343,000","329,900","672,900",35.5
UG132,MUKONO,"296,200","314,000","610,200",40.2,"304,700","323,200","627,900",39.7,"313,300","332,700","646,000",39.3,"322,000","342,300","664,300",38.7,"330,800","352,000","682,800",38.2,"339,600","361,800","701,400",37.7,"348,500","371,600","720,100",37.2,"357,300","381,500","738,800",36.7,"366,100","391,400","757,500",36.1,"374,800","401,200","776,000",35.5
UG6128,NABILATUK,"33,400","37,700","71,100",40.2,"35,100","39,400","74,500",39.7,"36,900","41,200","78,100",39.3,"38,900","43,000","81,900",38.7,"40,800","44,900","85,700",38.2,"42,900","46,800","89,700",37.7,"45,000","48,800","93,800",37.2,"47,300","50,900","98,200",36.7,"49,500","53,000","102,500",36.1,"51,900","55,200","107,100",35.5
UG656,NAKAPIRIPIRIT,"44,100","47,300","91,400",40.2,"46,100","49,400","95,500",39.7,"48,200","51,500","99,700",39.3,"50,400","53,800","104,200",38.7,"52,600","56,100","108,700",38.2,"54,900","58,400","113,300",37.7,"57,300","60,800","118,100",37.2,"59,700","63,300","123,000",36.7,"62,200","65,900","128,100",36.1,"64,700","68,500","133,200",35.5
UG169,NAKASEKE,"107,900","94,300","202,200",40.2,"111,900","96,500","208,400",39.7,"115,900","98,800","214,700",39.3,"120,100","101,200","221,300",38.7,"124,400","103,500","227,900",38.2,"128,800","105,800","234,600",37.7,"133,200","108,200","241,400",37.2,"137,700","110,500","248,200",36.7,"142,200","112,700","254,900",36.1,"146,800","115,000","261,800",35.5
UG144,NAKASONGOLA,"95,800","90,300","186,100",40.2,"99,000","92,700","191,700",39.7,"102,300","95,200","197,500",39.3,"105,600","97,800","203,400",38.7,"109,000","100,300","209,300",38.2,"112,400","102,800","215,200",37.7,"115,900","105,400","221,300",37.2,"119,400","107,900","227,300",36.7,"122,900","110,500","233,400",36.1,"126,400","113,000","239,400",35.5
UG495,NAMAYINGO,"107,900","110,300","218,200",40.2,"110,100","111,900","222,000",39.7,"112,200","113,600","225,800",39.3,"114,400","115,200","229,600",38.7,"116,500","116,800","233,300",38.2,"118,600","118,400","237,000",37.7,"120,700","119,900","240,600",37.2,"122,700","121,300","244,000",36.7,"124,700","122,700","247,400",36.1,"126,600","124,000","250,600",35.5
UG4120,NAMISINDWA,"100,800","103,500","204,300",40.2,"103,700","106,000","209,700",39.7,"106,600","108,500","215,100",39.3,"109,500","111,000","220,500",38.7,"112,500","113,600","226,100",38.2,"115,400","116,100","231,500",37.7,"118,400","118,600","237,000",37.2,"121,400","121,100","242,500",36.7,"124,300","123,600","247,900",36.1,"127,200","126,000","253,200",35.5
UG475,NAMUTUMBA,"127,500","131,900","259,400",40.2,"132,200","136,200","268,400",39.7,"137,000","140,600","277,600",39.3,"141,900","145,200","287,100",38.7,"147,000","149,700","296,700",38.2,"152,100","154,400","306,500",37.7,"157,300","159,100","316,400",37.2,"162,500","163,800","326,300",36.7,"167,800","168,600","336,400",36.1,"173,200","173,400","346,600",35.5
UG6107,NAPAK,"66,400","77,900","144,300",40.2,"67,600","79,500","147,100",39.7,"68,800","81,200","150,000",39.3,"69,900","82,800","152,700",38.7,"71,100","84,400","155,500",38.2,"72,200","86,100","158,300",37.7,"73,300","87,700","161,000",37.2,"74,400","89,200","163,600",36.7,"75,400","90,800","166,200",36.1,"76,400","92,300","168,700",35.5
UG533,NEBBI,"117,600","126,700","244,300",40.2,"121,400","130,300","251,700",39.7,"125,300","134,000","259,300",39.3,"129,200","137,800","267,000",38.7,"133,200","141,600","274,800",38.2,"137,200","145,400","282,600",37.7,"141,200","149,200","290,400",37.2,"145,300","153,000","298,300",36.7,"149,400","156,900","306,300",36.1,"153,400","160,700","314,100",35.5
UG6108,NGORA,"70,000","75,000","145,000",40.2,"72,100","76,900","149,000",39.7,"74,200","78,900","153,100",39.3,"76,400","80,900","157,300",38.7,"78,600","83,000","161,600",38.2,"80,800","85,000","165,800",37.7,"83,000","87,000","170,000",37.2,"85,200","89,100","174,300",36.7,"87,300","91,100","178,400",36.1,"89,500","93,100","182,600",35.5
UG396,NTOROKO,"34,700","33,400","68,100",40.2,"35,700","34,100","69,800",39.7,"36,600","34,700","71,300",39.3,"37,500","35,400","72,900",38.7,"38,500","36,000","74,500",38.2,"39,400","36,600","76,000",37.7,"40,400","37,300","77,700",37.2,"41,300","37,900","79,200",36.7,"42,200","38,500","80,700",36.1,"43,100","39,000","82,100",35.5
UG234,NTUNGAMO,"236,400","254,800","491,200",40.2,"241,500","259,600","501,100",39.7,"246,700","264,400","511,100",39.3,"251,900","269,200","521,100",38.7,"257,100","274,000","531,100",38.2,"262,200","278,600","540,800",37.7,"267,300","283,200","550,500",37.2,"272,200","287,700","559,900",36.7,"277,100","292,100","569,200",36.1,"281,800","296,400","578,200",35.5
UG5110,NWOYA,"71,600","73,100","144,700",40.2,"79,100","80,600","159,700",39.7,"87,400","88,800","176,200",39.3,"96,500","97,800","194,300",38.7,"106,500","107,700","214,200",38.2,"117,500","118,500","236,000",37.7,"129,500","130,300","259,800",37.2,"142,600","143,200","285,800",36.7,"157,000","157,300","314,300",36.1,"172,600","172,700","345,300",35.5
UG5134,OBONGI,"22,100","21,700","43,800",40.2,"22,800","22,100","44,900",39.7,"23,400","22,700","46,100",39.3,"24,000","23,100","47,100",38.7,"24,500","23,600","48,100",38.2,"25,100","24,000","49,100",37.7,"25,700","24,600","50,300",37.2,"26,300","25,000","51,300",36.7,"26,800","25,500","52,300",36.1,"27,300","25,900","53,200",35.5
UG5115,OMORO,"81,200","84,100","165,300",40.2,"84,200","87,000","171,200",39.7,"87,300","90,000","177,300",39.3,"90,400","93,100","183,500",38.7,"93,700","96,200","189,900",38.2,"97,000","99,400","196,400",37.7,"100,300","102,700","203,000",37.2,"103,700","105,900","209,600",36.7,"107,200","109,200","216,400",36.1,"110,600","112,600","223,200",35.5
UG686,OTUKE,"53,000","54,900","107,900",40.2,"55,400","57,200","112,600",39.7,"57,900","59,700","117,600",39.3,"60,500","62,200","122,700",38.7,"63,200","64,900","128,100",38.2,"65,900","67,600","133,500",37.7,"68,700","70,300","139,000",37.2,"71,600","73,100","144,700",36.7,"74,600","76,000","150,600",36.1,"77,600","79,000","156,600",35.5
UG576,OYAM,"191,700","200,900","392,600",40.2,"197,600","206,900","404,500",39.7,"203,600","212,900","416,500",39.3,"209,800","219,000","428,800",38.7,"216,000","225,300","441,300",38.2,"222,200","231,500","453,700",37.7,"228,500","237,800","466,300",37.2,"234,900","244,100","479,000",36.7,"241,200","250,400","491,600",36.1,"247,500","256,700","504,200",35.5
UG550,PADER,"87,800","92,600","180,400",40.2,"89,400","94,400","183,800",39.7,"91,000","96,200","187,200",39.3,"92,700","98,000","190,700",38.7,"94,200","99,800","194,000",38.2,"95,800","101,500","197,300",37.7,"97,300","103,200","200,500",37.2,"98,800","104,900","203,700",36.7,"100,200","106,500","206,700",36.1,"101,500","108,100","209,600",35.5
UG5121,PAKWACH,"78,900","84,000","162,900",40.2,"82,300","87,100","169,400",39.7,"85,700","90,200","175,900",39.3,"89,300","93,500","182,800",38.7,"92,900","96,800","189,700",38.2,"96,600","100,200","196,800",37.7,"100,500","103,600","204,100",37.2,"104,400","107,100","211,500",36.7,"108,300","110,700","219,000",36.1,"112,400","114,200","226,600",35.5
UG435,PALLISA,"138,900","146,000","284,900",40.2,"145,300","152,400","297,700",39.7,"152,000","158,900","310,900",39.3,"158,900","165,700","324,600",38.7,"166,100","172,700","338,800",38.2,"173,400","180,000","353,400",37.7,"181,000","187,400","368,400",37.2,"188,800","194,900","383,700",36.7,"196,800","202,700","399,500",36.1,"204,900","210,600","415,500",35.5
UG236,RAKAI,"138,900","143,100","282,000",40.2,"142,600","146,400","289,000",39.7,"146,400","149,700","296,100",39.3,"150,300","153,000","303,300",38.7,"154,100","156,400","310,500",38.2,"158,000","159,700","317,700",37.7,"161,800","163,000","324,800",37.2,"165,600","166,300","331,900",36.7,"169,400","169,500","338,900",36.1,"173,100","172,600","345,700",35.5
UG2116,RUBANDA,"92,900","105,400","198,300",40.2,"94,200","106,300","200,500",39.7,"95,500","107,100","202,600",39.3,"96,700","107,900","204,600",38.7,"97,900","108,700","206,600",38.2,"99,100","109,400","208,500",37.7,"100,200","110,100","210,300",37.2,"101,200","110,700","211,900",36.7,"102,200","111,200","213,400",36.1,"103,100","111,700","214,800",35.5
UG2112,RUBIRIZI,"62,700","68,300","131,000",40.2,"64,000","69,700","133,700",39.7,"65,300","71,000","136,300",39.3,"66,600","72,300","138,900",38.7,"67,900","73,600","141,500",38.2,"69,200","74,900","144,100",37.7,"70,400","76,200","146,600",37.2,"71,600","77,500","149,100",36.7,"72,800","78,700","151,500",36.1,"74,000","79,900","153,900",35.5
UG2122,RUKIGA,"48,500","52,700","101,200",40.2,"49,000","53,100","102,100",39.7,"49,500","53,500","103,000",39.3,"50,000","53,800","103,800",38.7,"50,500","54,200","104,700",38.2,"50,900","54,500","105,400",37.7,"51,300","54,700","106,000",37.2,"51,700","55,000","106,700",36.7,"52,000","55,200","107,200",36.1,"52,300","55,400","107,700",35.5
UG237,RUKUNGIRI,"151,400","165,700","317,100",40.2,"153,200","167,300","320,500",39.7,"155,100","169,000","324,100",39.3,"156,900","170,500","327,400",38.7,"158,700","172,000","330,700",38.2,"160,300","173,500","333,800",37.7,"161,900","174,800","336,700",37.2,"163,400","176,000","339,400",36.7,"164,800","177,200","342,000",36.1,"166,000","178,200","344,200",35.5
UG2135,RWAMPARA,"63,500","66,500","130,000",40.2,"64,900","67,900","132,800",39.7,"66,400","69,400","135,800",39.3,"67,800","70,900","138,700",38.7,"69,300","72,300","141,600",38.2,"70,800","73,800","144,600",37.7,"72,200","75,200","147,400",37.2,"73,800","76,700","150,500",36.7,"75,000","78,100","153,100",36.1,"76,500","79,700","156,200",35.5
UG697,SERERE,"144,200","150,900","295,100",40.2,"150,300","156,900","307,200",39.7,"156,700","163,100","319,800",39.3,"163,200","169,500","332,700",38.7,"169,900","176,000","345,900",38.2,"176,800","182,700","359,500",37.7,"183,800","189,500","373,300",37.2,"191,000","196,500","387,500",36.7,"198,300","203,500","401,800",36.1,"205,800","210,700","416,500",35.5
UG2101,SHEEMA,"100,100","108,900","209,000",40.2,"101,400","110,000","211,400",39.7,"102,600","111,200","213,800",39.3,"103,800","112,300","216,100",38.7,"105,000","113,400","218,400",38.2,"106,100","114,400","220,500",37.7,"107,200","115,400","222,600",37.2,"108,200","116,300","224,500",36.7,"109,100","117,200","226,300",36.1,"110,000","117,900","227,900",35.5
UG451,SIRONKO,"123,100","123,400","246,500",40.2,"126,100","125,900","252,000",39.7,"129,100","128,500","257,600",39.3,"132,100","131,100","263,200",38.7,"135,200","133,600","268,800",38.2,"138,200","136,100","274,300",37.7,"141,100","138,600","279,700",37.2,"144,100","141,100","285,200",36.7,"147,000","143,500","290,500",36.1,"149,800","145,800","295,600",35.5
UG638,SOROTI,"120,900","125,600","246,500",40.2,"125,500","130,100","255,600",39.7,"130,300","134,700","265,000",39.3,"135,100","139,300","274,400",38.7,"140,000","144,000","284,000",38.2,"145,000","148,700","293,700",37.7,"150,200","153,600","303,800",37.2,"155,200","158,400","313,600",36.7,"160,300","163,500","323,800",36.1,"165,800","168,600","334,400",35.5
UG245,SSEMBABULE,"129,100","129,100","258,200",40.2,"133,000","132,500","265,500",39.7,"137,000","136,100","273,100",39.3,"141,100","139,600","280,700",38.7,"145,200","143,200","288,400",38.2,"149,300","146,800","296,100",37.7,"153,500","150,400","303,900",37.2,"157,700","154,000","311,700",36.7,"161,800","157,500","319,300",36.1,"165,900","161,100","327,000",35.5
UG439,TORORO,"256,100","271,300","527,400",40.2,"263,000","278,200","541,200",39.7,"270,000","285,100","555,100",39.3,"277,100","292,100","569,200",38.7,"284,200","299,200","583,400",38.2,"291,300","306,200","597,500",37.7,"298,400","313,200","611,600",37.2,"305,500","320,200","625,700",36.7,"312,500","327,200","639,700",36.1,"319,400","334,000","653,400",35.5
UG152,WAKISO,"1,001,400","1,106,100","2,107,500",40.2,"1,068,400","1,181,600","2,250,000",39.7,"1,140,100","1,262,700","2,402,800",39.3,"1,215,700","1,348,100","2,563,800",38.7,"1,296,500","1,438,600","2,735,100",38.2,"1,381,000","1,534,200","2,915,200",37.7,"1,469,700","1,636,000","3,105,700",37.2,"1,564,000","1,744,000","3,308,000",36.7,"1,663,200","1,856,100","3,519,300",36.1,"1,766,700","1,974,300","3,741,000",35.5
UG553,YUMBE,"240,400","266,200","506,600",40.2,"253,100","282,000","535,100",39.7,"266,400","298,700","565,100",39.3,"280,200","316,300","596,500",38.7,"294,700","334,700","629,400",38.2,"309,600","354,000","663,600",37.7,"325,200","374,100","699,300",37.2,"341,200","395,200","736,400",36.7,"357,800","417,200","775,000",36.1,"375,000","440,200","815,200",35.5
UG587,ZOMBO,"118,700","126,900","245,600",40.2,"122,400","130,500","252,900",39.7,"126,100","134,100","260,200",39.3,"130,000","137,800","267,800",38.7,"133,900","141,500","275,400",38.2,"137,800","145,300","283,100",37.7,"141,700","149,000","290,700",37.2,"145,700","152,800","298,500",36.7,"149,600","156,500","306,100",36.1,"153,600","160,300","313,900",35.5
UG112341,KAMPALA CENTRAL,10000,10000,20000,36.1
UG112352,MAKERERE UNIVERSITY,10000,10000,20000,36.1
UG112351,KAWEMPE DIVISION,10000,10000,20000,36.1
UG112361,MAKINDYE DIVISION,10000,10000,20000,36.1
UG112371,NAKAWA,10000,10000,20000,36.1
UG112381,RUBAGA DIVISION,10000,10000,20000,36.1
UG1821541,BUIKWE,10000,10000,20000,36.1
UG1821546,BUIKWE TOWN COUNCIL,10000,10000,20000,36.1
UG1821547,KIYINDI TOWN COUNCIL,10000,10000,20000,36.1
UG1821542,NAJJA,10000,10000,20000,36.1
UG1821543,NGOGWE,10000,10000,20000,36.1
UG1821544,NKOKONJERU TOWN COUNCIL,10000,10000,20000,36.1
UG1821545,SSI,10000,10000,20000,36.1
UG1822453,NAJJEMBE DIVISION,10000,10000,20000,36.1
UG1822452,CENTRAL DIVISION,10000,10000,20000,36.1
UG1822451,KAWOLO DIVISION,10000,10000,20000,36.1
UG1822501,NJERU DIVISION,10000,10000,20000,36.1
UG1822502,NYENGA DIVISION,10000,10000,20000,36.1
UG1822503,WAKISI DIVISION,10000,10000,20000,36.1
UG199744,KIBIBI TOWN COUNCIL,10000,10000,20000,36.1
UG199741,BUDDE,10000,10000,20000,36.1
UG199742,BULO,10000,10000,20000,36.1
UG199743,KALAMBA,10000,10000,20000,36.1
UG199745,NGANDO,10000,10000,20000,36.1
UG199746,GOMBE TOWN COUNCIL,10000,10000,20000,36.1
UG1901627,LUBYA TOWN COUNCIL,10000,10000,20000,36.1
UG1901622,BUSAMUZI,10000,10000,20000,36.1
UG1901628,LWAJE,10000,10000,20000,36.1
UG1901624,NAIRAMBI,10000,10000,20000,36.1
UG1901625,BUVUMA TOWN COUNCIL,10000,10000,20000,36.1
UG1901626,BUWOOYA,10000,10000,20000,36.1
UG1901623,BWEEMA,10000,10000,20000,36.1
UG1901629,LYABAANA TOWN COUNCIL,10000,10000,20000,36.1
UG1901621,BUGAYA,10000,10000,20000,36.1
UG1911636,TTABA-BBINZI,10000,10000,20000,36.1
UG1911634,MPENJA,10000,10000,20000,36.1
UG1912103,MADDU,10000,10000,20000,36.1
UG1911632,KYEGONZA,10000,10000,20000,36.1
UG1912101,KABULASOKE,10000,10000,20000,36.1
UG1912104,KYAYI,10000,10000,20000,36.1
UG1912102,KIFAMPA,10000,10000,20000,36.1
UG1912105,MADDU TOWN COUNCIL,10000,10000,20000,36.1
UG1911635,KANONI TOWN COUNCIL,10000,10000,20000,36.1
UG1471083,KAYUNGA TOWN COUNCIL,10000,10000,20000,36.1
UG1471081,KANGULUMIRA,10000,10000,20000,36.1
UG1471073,KAYONZA,10000,10000,20000,36.1
UG1471072,GALIRAYA,10000,10000,20000,36.1
UG1471071,BBAALE,10000,10000,20000,36.1
UG1471074,KITIMBWA,10000,10000,20000,36.1
UG1471082,NAZIGO,10000,10000,20000,36.1
UG1471075,KITIMBWA TOWN COUNCIL,10000,10000,20000,36.1
UG1471084,NAZIGO TOWN COUNCIL,10000,10000,20000,36.1
UG123574,NYIMBWA,10000,10000,20000,36.1
UG123565,ZIROBWE,10000,10000,20000,36.1
UG123563,KAMIRA,10000,10000,20000,36.1
UG123573,MAKULUBITA,10000,10000,20000,36.1
UG123571,BUTUNTUMULA,10000,10000,20000,36.1
UG123561,BAMUNANIKA,10000,10000,20000,36.1
UG123564,KIKYUSA,10000,10000,20000,36.1
UG123562,KALAGALA,10000,10000,20000,36.1
UG123572,KATIKAMU,10000,10000,20000,36.1
UG123575,WOBULENZI TOWN COUNCIL,10000,10000,20000,36.1
UG130751,KAMMENGO,10000,10000,20000,36.1
UG130754,MPIGI TOWN COUNCIL,10000,10000,20000,36.1
UG130752,KITUNTU,10000,10000,20000,36.1
UG130753,NKOZI,10000,10000,20000,36.1
UG130755,MUDUMA,10000,10000,20000,36.1
UG1321873,MUKONO CENTRAL DIVISION,10000,10000,20000,36.1
UG1321871,GOMA DIVISION,10000,10000,20000,36.1
