adminPcode,name,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
UG182,BUIKWE,"210,700","218,600","429,300",40.2,"215,200","223,100","438,300",39.7,"219,800","227,500","447,300",39.3,"224,300","232,000","456,300",38.7,"228,800","236,400","465,200",38.2,"233,300","240,800","474,100",37.7,"237,700","245,200","482,900",37.2,"242,000","249,400","491,400",36.7,"246,200","253,600","499,800",36.1,"250,300","257,700","508,000",35.5
UG679,BUKEDEA,"102,300","108,300","210,600",40.2,"107,000","112,700","219,700",39.7,"111,800","117,300","229,100",39.3,"116,800","122,100","238,900",38.7,"122,000","127,000","249,000",38.2,"127,300","132,000","259,300",37.7,"132,800","137,100","269,900",37.2,"138,400","142,300","280,700",36.7,"144,200","147,600","291,800",36.1,"150,000","153,100","303,100",35.5
UG298,BUKOMANSIMBI,"75,600","76,400","152,000",40.2,"76,200","76,800","153,000",39.7,"76,900","77,100","154,000",39.3,"77,500","77,400","154,900",38.7,"78,100","77,700","155,800",38.2,"78,700","77,900","156,600",37.7,"79,200","78,100","157,300",37.2,"79,700","78,200","157,900",36.7,"80,100","78,300","158,400",36.1,"80,400","78,300","158,700",35.5
UG459,BUKWO,"47,000","46,000","93,000",40.2,"49,500","48,300","97,800",39.7,"52,200","50,600","102,800",39.3,"55,000","53,100","108,100",38.7,"57,800","55,700","113,500",38.2,"60,800","58,300","119,100",37.7,"63,900","61,000","124,900",37.2,"67,200","63,800","131,000",36.7,"70,500","66,700","137,200",36.1,"73,900","69,700","143,600",35.5
UG489,BULAMBULI,"89,600","91,800","181,400",40.2,"94,200","96,400","190,600",39.7,"98,900","101,100","200,000",39.3,"103,900","106,000","209,900",38.7,"109,000","111,100","220,100",38.2,"114,300","116,300","230,600",37.7,"119,800","121,800","241,600",37.2,"125,500","127,400","252,900",36.7,"131,300","133,200","264,500",36.1,"137,300","139,200","276,500",35.5
UG373,BULIISA,"60,300","57,300","117,600",40.2,"63,600","59,900","123,500",39.7,"67,100","62,500","129,600",39.3,"70,700","65,300","136,000",38.7,"74,400","68,100","142,500",38.2,"78,300","71,000","149,300",37.7,"82,400","74,000","156,400",37.2,"86,600","77,100","163,700",36.7,"91,000","80,300","171,300",36.1,"95,500","83,500","179,000",35.5
UG333,BUNDIBUGYO,"111,100","118,300","229,400",40.2,"114,500","121,600","236,100",39.7,"118,100","124,900","243,000",39.3,"121,700","128,200","249,900",38.7,"125,300","131,500","256,800",38.2,"128,900","134,900","263,800",37.7,"132,600","138,200","270,800",37.2,"136,300","141,600","277,900",36.7,"140,000","145,000","285,000",36.1,"143,700","148,300","292,000",35.5
UG3117,BUNYANGABU,"85,800","87,700","173,500",40.2,"88,100","89,600","177,700",39.7,"90,400","91,600","182,000",39.3,"92,800","93,600","186,400",38.7,"95,100","95,600","190,700",38.2,"97,500","97,600","195,100",37.7,"99,900","99,600","199,500",37.2,"102,200","101,600","203,800",36.7,"104,500","103,500","208,000",36.1,"106,800","105,400","212,200",35.5
UG24,BUSHENYI,"115,200","120,900","236,100",40.2,"116,700","122,000","238,700",39.7,"118,100","123,100","241,200",39.3,"119,500","124,200","243,700",38.7,"120,900","125,200","246,100",38.2,"122,200","126,100","248,300",37.7,"123,400","127,000","250,400",37.2,"124,600","127,800","252,400",36.7,"125,700","128,500","254,200",36.1,"126,600","129,200","255,800",35.5
UG442,BUSIA,"160,500","170,900","331,400",40.2,"165,700","175,800","341,500",39.7,"171,100","180,800","351,900",39.3,"176,600","185,900","362,500",38.7,"182,100","191,100","373,200",38.2,"187,700","196,300","384,000",37.7,"193,400","201,500","394,900",37.2,"199,100","206,700","405,800",36.7,"204,800","211,900","416,700",36.1,"210,500","217,100","427,600",35.5
UG460,BUTALEJA,"123,200","128,100","251,300",40.2,"128,000","132,700","260,700",39.7,"132,900","137,300","270,200",39.3,"138,000","142,100","280,100",38.7,"143,200","147,000","290,200",38.2,"148,500","152,000","300,500",37.7,"153,900","157,000","310,900",37.2,"159,400","162,100","321,500",36.7,"164,900","167,300","332,200",36.1,"170,600","172,500","343,100",35.5
UG199,BUTAMBALA,"50,600","51,100","101,700",40.2,"51,400","51,600","103,000",39.7,"52,100","52,200","104,300",39.3,"52,800","52,700","105,500",38.7,"53,500","53,200","106,700",38.2,"54,200","53,600","107,800",37.7,"54,900","54,100","109,000",37.2,"55,500","54,500","110,000",36.7,"56,100","54,800","110,900",36.1,"56,700","55,200","111,900",35.5
UG4118,BUTEBO,"54,900","58,100","113,000",40.2,"55,800","58,900","114,700",39.7,"56,700","59,600","116,300",39.3,"57,600","60,400","118,000",38.7,"58,500","61,100","119,600",38.2,"59,400","61,800","121,200",37.7,"60,300","62,500","122,800",37.2,"61,100","63,200","124,300",36.7,"61,900","63,800","125,700",36.1,"62,600","64,400","127,000",35.5
UG190,BUVUMA,"50,800","43,700","94,500",40.2,"54,000","46,700","100,700",39.7,"57,300","49,900","107,200",39.3,"60,800","53,200","114,000",38.7,"64,500","56,800","121,300",38.2,"68,400","60,500","128,900",37.7,"72,500","64,500","137,000",37.2,"76,700","68,600","145,300",36.7,"81,200","73,000","154,200",36.1,"85,800","77,700","163,500",35.5
UG483,BUYENDE,"164,500","170,000","334,500",40.2,"172,100","177,400","349,500",39.7,"179,900","185,000","364,900",39.3,"188,100","192,900","381,000",38.7,"196,500","201,000","397,500",38.2,"205,200","209,400","414,600",37.7,"214,100","218,000","432,100",37.2,"223,300","226,800","450,100",36.7,"232,600","235,800","468,400",36.1,"242,200","244,900","487,100",35.5
UG674,DOKOLO,"91,600","95,600","187,200",40.2,"94,500","98,300","192,800",39.7,"97,400","101,000","198,400",39.3,"100,300","103,700","204,000",38.7,"103,300","106,500","209,800",38.2,"106,200","109,300","215,500",37.7,"109,300","112,100","221,400",37.2,"112,300","114,800","227,100",36.7,"115,300","117,600","232,900",36.1,"118,300","120,400","238,700",35.5
UG191,GOMBA,"83,300","78,400","161,700",40.2,"84,800","79,300","164,100",39.7,"86,400","80,200","166,600",39.3,"87,900","81,200","169,100",38.7,"89,400","82,000","171,400",38.2,"90,900","82,900","173,800",37.7,"92,400","83,700","176,100",37.2,"93,800","84,400","178,200",36.7,"95,100","85,200","180,300",36.1,"96,400","85,800","182,200",35.5
UG55,GULU,"49,900","51,800","101,700",40.2,"51,300","53,300","104,600",39.7,"52,900","54,800","107,700",39.3,"54,300","56,400","110,700",38.7,"55,900","58,100","114,000",38.2,"57,700","59,800","117,500",37.7,"59,300","61,400","120,700",37.2,"60,900","62,800","123,700",36.7,"62,500","64,500","127,000",36.1,"64,100","66,100","130,200",35.5
UG36,HOIMA,"107,100","104,300","211,400",40.2,"111,000","107,900","218,900",39.7,"115,300","111,800","227,100",39.3,"119,600","115,400","235,000",38.7,"123,800","119,400","243,200",38.2,"128,400","123,400","251,800",37.7,"132,900","127,500","260,400",37.2,"137,500","131,500","269,000",36.7,"142,100","135,700","277,800",36.1,"147,000","139,800","286,800",35.5
UG361,IBANDA,"123,300","129,900","253,200",40.2,"125,800","132,200","258,000",39.7,"128,200","134,600","262,800",39.3,"130,700","137,000","267,700",38.7,"133,200","139,400","272,600",38.2,"135,600","141,700","277,300",37.7,"138,000","143,900","281,900",37.2,"140,300","146,100","286,400",36.7,"142,600","148,300","290,900",36.1,"144,700","150,400","295,100",35.5
UG47,IGANGA,"166,600","180,800","347,400",40.2,"172,100","186,000","358,100",39.7,"177,600","191,300","368,900",39.3,"183,300","196,700","380,000",38.7,"189,100","202,200","391,300",38.2,"194,900","207,700","402,600",37.7,"200,800","213,200","414,000",37.2,"206,700","218,700","425,400",36.7,"212,600","224,200","436,800",36.1,"218,500","229,800","448,300",35.5
UG62,ISINGIRO,"242,700","257,600","500,300",40.2,"251,800","266,800","518,600",39.7,"261,200","276,200","537,400",39.3,"270,900","285,800","556,700",38.7,"280,700","295,600","576,300",38.2,"290,800","305,600","596,400",37.7,"301,000","315,700","616,700",37.2,"311,300","326,000","637,300",36.7,"321,800","336,300","658,100",36.1,"332,400","346,800","679,200",35.5
UG48,JINJA,"111,500","115,300","226,800",40.2,"113,500","117,100","230,600",39.7,"115,500","119,000","234,500",39.3,"117,200","120,600","237,800",38.7,"119,000","122,500","241,500",38.2,"121,000","124,200","245,200",37.7,"122,600","125,900","248,500",37.2,"124,300","127,400","251,700",36.7,"126,000","128,900","254,900",36.1,"127,500","130,400","257,900",35.5
UG663,KAABONG,"51,500","59,300","110,800",40.2,"52,900","60,900","113,800",39.7,"54,500","62,400","116,900",39.3,"55,700","63,800","119,500",38.7,"57,300","65,200","122,500",38.2,"58,600","66,800","125,400",37.7,"60,300","68,300","128,600",37.2,"61,700","69,900","131,600",36.7,"63,200","71,200","134,400",36.1,"64,500","72,600","137,100",35.5
