admin4Name_en,admin4Pcode,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode
KATERERA,UG21121721,KATERERA,UG2112172,RUBIRIZI,UG2112,WESTERN,UG2,Uganda,UG
KATERERA TOWN COUNCIL,UG21121729,KATERERA,UG2112172,RUBIRIZI,UG2112,WESTERN,UG2,Uganda,UG
KIRUGU,UG211217210,KATERERA,UG2112172,RUBIRIZI,UG2112,WESTERN,UG2,Uganda,UG
KATUNGURU,UG2112112,BUNYARUGURU,UG211211,RUBIRIZI,UG2112,WESTERN,UG2,Uganda,UG
KATANDA,UG21121726,KATERERA,UG2112172,RUBIRIZI,UG2112,WESTERN,UG2,Uganda,UG
RWERERE TOWN COUNCIL,UG237927,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
NYAKAGYEME,UG237925,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
NYAKISHENYI,UG237913,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
KEBISONI,UG237912,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BIKURUNGU TOWN COUNCIL,UG237928,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
NYARUSHANJE,UG237914,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
KEBISONI TOWN COUNCIL,UG237915,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BUHUNGA,UG237922,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BUGANGARI,UG237921,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BWAMBARA,UG237923,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BUYANJA,UG237911,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
SOUTHERN DIVISION,UG2371892,RUKUNGIRI MUNICIPALITY,UG237189,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
RUHINDA,UG237926,RUJUMBURA,UG23792,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
WESTERN DIVISION,UG2371893,RUKUNGIRI MUNICIPALITY,UG237189,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
BUYANJA TOWN COUNCIL,UG237916,RUBABO,UG23791,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
EASTERN DIVISION,UG2371891,RUKUNGIRI MUNICIPALITY,UG237189,RUKUNGIRI,UG237,WESTERN,UG2,Uganda,UG
KABWOHE DIVISION,UG21012541,SHEEMA MUNICIPALITY,UG2101254,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
SHEEMA CENTRAL DIVISION,UG21012544,SHEEMA MUNICIPALITY,UG2101254,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
MASHERUKA TOWN COUNCIL,UG2101147,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KAGANGO DIVISION,UG21012542,SHEEMA MUNICIPALITY,UG2101254,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
SHUUKU TOWN COUNCIL,UG2101143,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
RUGARAMA,UG2101146,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
MASHERUKA,UG2101145,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KAKINDO TOWN COUNCIL,UG2101148,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KITAGATA,UG2101142,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KASHOZI DIVISION,UG21012543,SHEEMA MUNICIPALITY,UG2101254,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KASAANA,UG2101144,SHEEMA,UG210114,SHEEMA,UG2101,WESTERN,UG2,Uganda,UG
KABONERO,UG3117298,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KYAMUKUBE TOWN COUNCIL,UG31172911,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KIYOMBYA,UG31172910,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
RUBONA TOWN COUNCIL,UG3117299,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KIBIITO TOWN COUNCIL,UG3117296,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KISOMORO,UG3117293,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KATEEBWA,UG3117295,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KIBIITO,UG3117292,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
BUHEESI TOWN COUNCIL,UG31172912,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
BUHEESI,UG3117291,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
RWIMI TOWN COUNCIL,UG3117297,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
RWIMI,UG3117294,BUNYANGABU,UG311729,BUNYANGABU,UG3117,MID WESTERN,UG3,Uganda,UG
KARAGO TOWN COUNCIL,UG3103012,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
RWENGAJU,UG3103018,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
MUGUSU,UG310306,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KARANGURA,UG310309,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
EASTERN DIVISION,UG310311,FORT PORTAL MUNICIPALITY,UG31031,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KARAMBI,UG310304,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
WESTERN DIVISION,UG310313,FORT PORTAL MUNICIPALITY,UG31031,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
HARUGONGO,UG3103013,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KASENDA,UG310308,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KICWAMBA,UG310305,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
SOUTHERN DIVISION,UG310312,FORT PORTAL MUNICIPALITY,UG31031,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
HAKIBALE,UG310303,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KIGUMA,UG3103017,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
RUTEETE,UG310307,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KABENDE,UG3103014,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KASENDA TOWN COUNCIL,UG3103016,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
BUSORO,UG310302,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
MUGUSU TOWN COUNCIL,UG3103015,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KIJURA TOWN COUNCIL,UG3103010,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
BUKUUKU,UG310301,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
KIKO TOWN COUNCIL,UG3103011,BURAHYA,UG31030,KABAROLE,UG310,MID WESTERN,UG3,Uganda,UG
BIGULI,UG3462188,KIBALE EAST,UG346218,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KAHUNGE TOWN COUNCIL,UG34610510,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
BIGODI TOWN COUNCIL,UG34610512,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
NKOMA,UG3462184,KIBALE EAST,UG346218,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
BIHANGA,UG3462189,KIBALE EAST,UG346218,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
NKOMA-KATALYEBA TOWN COUNCIL,UG3462182,KIBALE EAST,UG346218,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KABUGA TOWN COUNCIL,UG34610511,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KAHUNGE,UG3461052,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KAMWENGE TOWN COUNCIL,UG3461055,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
BUSIRIBA,UG3461056,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KABAMBIRO,UG3461057,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
BWIZI,UG3462181,KIBALE EAST,UG346218,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
KAMWENGE,UG3461053,KIBALE,UG346105,KAMWENGE,UG346,MID WESTERN,UG3,Uganda,UG
NALUTUNTU,UG3125774,KASSANDA,UG312577,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
MYANZI,UG3125772,KASSANDA,UG312577,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
BUKUYA TOWN COUNCIL,UG31252022,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
MAKOKOTO,UG31252025,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
KIJJUNA,UG31252023,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
MBIRIZI,UG31252026,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
MANYOGASEKA,UG3125773,KASSANDA,UG312577,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
KIGANDA TOWN COUNCIL,UG3125775,KASSANDA,UG312577,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
KITUMBI,UG31252024,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
BUKUYA,UG31252021,BUKUYA,UG3125202,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
KIGANDA,UG3125771,KASSANDA,UG312577,KASSANDA,UG3125,MID WESTERN,UG3,Uganda,UG
KYANGWALI,UG3126195,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
BUHIMBA TOWN COUNCIL,UG3126196,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
BUGAMBE,UG3126191,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
BUHIMBA,UG3126192,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
KIZIRANFUMBI,UG3126194,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
KABWOYA,UG3126193,BUHAGUZI,UG312619,KIKUUBE,UG3126,MID WESTERN,UG3,Uganda,UG
KICHECHE,UG31321061,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
MAHYORO,UG31321062,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
BUHANDA,UG31321065,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
NTARA,UG31321063,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
KABUJOGERA TOWN COUNCIL,UG31321067,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
NYABBANI,UG31321064,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
KANARA,UG31321066,KITAGWENDA,UG3132106,KITAGWENDA,UG3132,MID WESTERN,UG3,Uganda,UG
NGWEDO,UG3731447,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
KIHUNGYA,UG3731446,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BIISO TOWN COUNCIL,UG3731448,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BULIISA,UG3731442,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
KIGWERA,UG3731445,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BUTIABA TOWN COUNCIL,UG3731449,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BIISO,UG3731441,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BULIISA TOWN COUNCIL,UG3731443,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
BUTIABA,UG3731444,BULIISA,UG373144,BULIISA,UG373,MID WESTERN,UG3,Uganda,UG
NYAHUKA TOWN COUNCIL,UG3395,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUTAMA-MITUNDA TOWN COUNCIL,UG33812,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
HARUGALI,UG3381,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
SINDILA,UG3386,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUNDIBUGYO TOWN COUNCIL,UG3393,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
NTANDI TOWN COUNCIL,UG33810,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUSUNGA TOWN COUNCIL,UG33911,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUBANDI,UG3391,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
KISUBBA,UG3397,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUSARU,UG3394,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUBUKWANGA,UG3392,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
NTOTORO,UG3385,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
NGITE,UG33814,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
MBATYA,UG33813,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
TOKWE,UG33910,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUGANIKERE TOWN COUNCIL,UG33912,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
KIRUMYA,UG3396,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
NDUGUTU,UG3383,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUKONZO,UG3384,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BUNDINGOMA,UG3399,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
KAGUGU,UG3389,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
NGAMBA,UG3387,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
MABERE,UG33811,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
MIRAMBI,UG3398,BWAMBA,UG339,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BURONDO,UG3388,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
KASITU,UG3382,BUGHENDERA,UG338,BUNDIBUGYO,UG33,MID WESTERN,UG3,Uganda,UG
BOMBO,UG362202,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KIGOROBYA,UG362205,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KAHOORA DIVISION,UG361834,HOIMA MUNICIPALITY,UG36183,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
BUSERUKA,UG36182,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
BURARU,UG361810,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KIGANJA,UG362204,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KYABIGAMBIRE,UG36188,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KITOBA,UG36187,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
BUJUMBURA DIVISION,UG361831,HOIMA MUNICIPALITY,UG36183,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
MPARO DIVISION,UG361832,HOIMA MUNICIPALITY,UG36183,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KISUKUMA,UG362203,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KAPAAPI,UG362201,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
BUSIISI DIVISION,UG361833,HOIMA MUNICIPALITY,UG36183,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KIJONGO,UG362207,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
BUHANIKA,UG36181,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KABAALE,UG36189,BUGAHYA,UG3618,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
KIGOROBYA TOWN COUNCIL,UG362206,KIGOROBYA,UG36220,HOIMA,UG36,MID WESTERN,UG3,Uganda,UG
NYAMAREBE,UG3611283,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
KICUZI,UG3611282,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
BUFUNDA DIVISION,UG3612532,IBANDA MUNICIPALITY,UG361253,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
BISHESHE DIVISION,UG3612531,IBANDA MUNICIPALITY,UG361253,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
KAGONGO DIVISION,UG3612533,IBANDA MUNICIPALITY,UG361253,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
KIJONGO,UG3611286,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
NYABUHIKYE,UG3611284,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
RUKIRI,UG3611285,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
RWENKOBWA TOWN COUNCIL,UG3611288,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
RUSHANGO TOWN COUNCIL,UG3611287,IBANDA,UG361128,IBANDA,UG361,MID WESTERN,UG3,Uganda,UG
BWIKARA,UG31131741,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYENZIGE,UG31134613,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MABAALE,UG3113465,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
ISUNGA,UG3113466,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
RUTEETE,UG311317416,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
NYAKARONGO,UG31131749,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MAIRIRWE,UG31131745,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MUHORRO TOWN COUNCIL,UG31131743,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
GALIBOLEKA,UG31131744,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
NYABUTANZI,UG3113461,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KICUCURA,UG31134610,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYATEREKERA TOWN COUNCIL,UG311317413,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KABAMBA,UG31134611,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
BUHUMULIRO,UG311317417,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KAGADI TOWN COUNCIL,UG3113469,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KAGADI,UG3113462,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MPEEFU YA SANDE TOWN COUNCIL,UG311317411,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MUHORRO,UG31131747,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
BURORA,UG311317410,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KAMUROZA,UG3113467,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KANYABEEBE,UG311317415,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYENZIGE TOWN COUNCIL,UG31134614,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KINYARUGONJO,UG3113468,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
RUGASHARI,UG31131748,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
PACHWA,UG31134615,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYAKABADIIMA,UG31131742,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KIRYANGA,UG3113463,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
NDAIGA,UG311317414,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYANAISOKE,UG3113464,BUYAGA EAST,UG311346,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
MPEEFU,UG31131746,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KYATEREKERA,UG311317412,BUYAGA WEST,UG3113174,KAGADI,UG3113,MID WESTERN,UG3,Uganda,UG
KIKOORA,UG31144514,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KIJANGI,UG31144510,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
MPASAANA,UG31141738,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
IGAYAZA TOWN COUNCIL,UG3114456,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KIBIJJO,UG31141733,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KASAMBYA,UG3114453,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
NALWEYO,UG3114455,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KISIITA,UG31141734,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
MWITANZIGE,UG31141735,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KISENGWE,UG31144511,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
BWANSWA,UG3114451,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KYABASAIJA,UG31144512,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KAKINDO,UG3114452,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KAKUMIRO TOWN COUNCIL,UG3114454,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KISIITA TOWN COUNCIL,UG31141732,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
NKOOKO,UG31141736,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KAKINDO TOWN COUNCIL,UG31144513,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KIKWAYA,UG3114459,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KITAIHUKA,UG3114458,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
KATIKARA,UG31141731,BUGANGAIZI EAST,UG3114173,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
BIREMBO,UG3114457,BUGANGAIZI WEST,UG311445,KAKUMIRO,UG3114,MID WESTERN,UG3,Uganda,UG
MUHOKYA,UG315446,BUSONGORA,UG31544,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
KITSWAMBA,UG315442,BUSONGORA,UG31544,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
IBANDA-KYANYA TOWN COUNCIL,UG3154410,BUSONGORA,UG31544,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
KYONDO,UG315433,BUKONZO,UG31543,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
RUGENDABARA-KIKONGO TOWN COUNCIL,UG315448,BUSONGORA,UG31544,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
KYARUMBA,UG315432,BUKONZO,UG31543,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
RUKOKI,UG315447,BUSONGORA,UG31544,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
KISINGA,UG315431,BUKONZO,UG31543,KASESE,UG315,MID WESTERN,UG3,Uganda,UG
